"","Location","Count","AvgSalary"
"167","Burlingame, KS",1,51.5
"168","Burr Ridge, IL",1,79.5
"169","Campbell, CA",1,89.5
"170","Carrollton, TX",1,63
"171","Carson, CA",1,53.5
"172","Cedar Park, TX",1,38.5
"173","Chester Township, PA",1,40.5
"174","Conshohocken, PA",1,40.5
"175","Coppell, TX",1,63
"176","Daly City, CA",1,126
"177","Des Plaines, IL",1,79.5
"178","Duarte, CA",1,54
"179","East Palo Alto, CA",1,72
"180","El Cajon, CA",1,92
"181","Elk Grove Village, IL",1,113
"182","Emeryville, CA",1,99
"183","Essex Fells, NJ",1,39.5
"184","Evanston, IL",1,59
"185","Exton, PA",1,53
"186","Far Rockaway, NY",1,104.5
"187","Farmers Branch, TX",1,63
"188","Fort Eustis, VA",1,80.5
"189","Fort Lee, NJ",1,59.5
"190","Fort Sam Houston, TX",1,81
"191","Fort Washington, PA",1,59.5
"192","Glenview, IL",1,113
"193","Great Neck, NY",1,106
"194","Hanford, CA",1,64
"195","Harrison, NY",1,72
"196","Henderson, CO",1,62
"197","Hercules, CA",1,92.5
"198","Hermosa Beach, CA",1,79
"199","Indian Trail, NC",1,64.5
"200","Inglewood, CA",1,79
"201","Iselin, NJ",1,72
"202","Itasca, IL",1,79.5
"203","Jeffersonville, IN",1,47.5
"204","Lawrence, IN",1,47.5
"205","Little Ferry, NJ",1,59.5
"206","Littleton, CO",1,78.5
"207","Lone Tree, CO",1,70
"208","Marin City, CA",1,126
"209","Maywood, IL",1,113
"210","Millbrae, CA",1,92.5
"211","Monterey Park, CA",1,54
"212","Montvale, NJ",1,72
"213","Moorestown, NJ",1,71.5
"214","Mount Vernon, NY",1,58
"215","National City, CA",1,99
"216","Newtown Square, PA",1,88.5
"217","Newtown, PA",1,40.5
"218","Norristown, PA",1,88.5
"219","Northfield, IL",1,113
"220","Northlake, IL",1,79.5
"221","Novato, CA",1,99
"222","Panorama City, CA",1,54
"223","Paoli, PA",1,40.5
"224","Pico Rivera, CA",1,122.5
"225","Queens Village, NY",1,72
"226","Radnor, PA",1,53
"227","Reedley, CA",1,64
"228","Ridley Park, PA",1,40.5
"229","Riverton, UT",1,36.5
"230","Roanoke, TX",1,68
"231","San Bruno, CA",1,99
"232","San Fernando, CA",1,52.5
"233","Sandy, UT",1,36.5
"234","Secaucus, NJ",1,104.5
"235","Signal Hill, CA",1,73
"236","Smithfield, VA",1,56
"237","Southlake, TX",1,63
"238","Spring, TX",1,98.5
"239","Staten Island, NY",1,72
"240","Suffolk, VA",1,56
"241","Tarrant, TX",1,63
"242","Torrance, CA",1,54
"243","Valley Stream, NY",1,87
"244","Virginia Beach, VA",1,56
"245","Visalia, CA",1,64
"246","West Conshohocken, PA",1,53
"247","West Jordan, UT",1,36.5
"248","West Lake Hills, TX",1,38.5
"249","Whitestown, IN",1,47.5
"250","Whittier, CA",1,122.5
"251","Woodbridge, NJ",1,106
"252","Woodcliff Lake, NJ",1,72
"253","Yorktown, VA",1,56
